Zone,State,City,Destination,Category,HoursNeeded,Rating,EntranceFee,HasAirport,Significance,BestTime,FocusTrait
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3.0,4.9,7500,Yes,Cultural,Evening,Culture
Western,Gujarat,Kevadia,Statue of Unity,Monument,3.0,4.6,350,No,Historical,All,Culture
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,1.5,4.5,0,No,Historical,All,Culture
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,1.0,4.6,0,Yes,Recreational,Evening,Culture
Western,Gujarat,Ahmedabad,Manek Chowk,Market,2.0,4.4,0,Yes,Food,Night,Culture
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,3.0,4.5,10,Yes,Recreational,Afternoon,Nature
Western,Gujarat,Ahmedabad,Science City,Science,7.0,4.4,500,Yes,Educational,All,Culture
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1.0,4.4,50,Yes,Architectural,Morning,Culture
Northern,Rajasthan,Udaipur,City Palace,Palace,2.0,4.4,300,Yes,Historical,All,Culture
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,2.5,4.4,50,No,Historical,All,Culture
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,3.0,4.6,500,No,Wildlife,All,Nature
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1.5,4.4,0,No,Religious,All,Culture
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1.0,4.6,0,Yes,Religious,All,Culture
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,2.0,4.6,100,Yes,Historical,All,Culture
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,2.0,4.6,40,No,Historical,All,Culture
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1.0,4.6,0,No,Religious,All,Culture
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,2.0,4.5,50,Yes,Historical,All,Culture
Northern,Rajasthan,Jaipur,Amber Fort,Fort,2.0,4.6,100,Yes,Historical,All,Culture
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1.5,4.5,35,Yes,Historical,All,Culture
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1.0,4.6,0,Yes,Nature,All,Nature
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,0,Yes,Spiritual,All,Culture
Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1.0,4.8,0,Yes,Historical,Afternoon,Culture
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,2.0,4.8,0,Yes,Cultural,Evening,Culture
Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,2.0,4.5,30,Yes,Artistic,All,Culture
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,1.5,4.5,0,Yes,Recreational,All,Nature
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,2.0,4.3,0,No,Nature,All,Culture
Southern,Kerala,Kochi,Fort Kochi,Site,1.0,4.4,0,Yes,Historical,All,Culture
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,1.5,3.9,0,Yes,Recreational,All,Nature
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,3.0,4.5,300,No,Wildlife,All,Nature
Southern,Kerala,Thekkady,Periyar National Park,National Park,3.0,4.3,50,No,Wildlife,All,Nature
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,2.0,3.8,50,Yes,Wildlife,All,Culture
Southern,Kerala,Varkala,Varkala Beach,Beach,2.0,4.6,0,Yes,Recreational,All,Nature
Southern,Kerala,Bekal,Bekal Fort,Fort,1.5,4.5,20,No,Historical,All,Culture
Southern,Kerala,Kovalam,Kovalam Beach,Beach,2.0,4.4,0,Yes,Recreational,All,Nature
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1.0,4.4,20,Yes,Historical,All,Culture
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,1.0,4.5,0,No,Nature,Morning,Culture
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,1.5,4.4,100,Yes,Cultural,All,Culture
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,750,Yes,Entertainment,All,Thrills
Southern,Karnataka,Mysore,Mysore Palace,Palace,2.0,4.6,50,Yes,Historical,All,Culture
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3.0,4.7,0,No,Historical,All,Culture
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,1.0,4.1,0,No,Nature,Morning,Nature
Southern,Karnataka,Gokarna,Om Beach,Beach,2.0,4.5,0,No,Nature,All,Nature
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,3.0,4.5,0,No,Nature,All,Culture
Southern,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,30,No,Religious,All,Culture
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,30,No,Nature,Morning,Nature
Southern,Karnataka,Mangalore,Panambur Beach,Beach,1.5,4.5,0,Yes,Recreational,All,Nature
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1.5,4.5,20,No,Historical,All,Culture
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,3.0,4.4,300,No,Wildlife,Morning,Nature
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1.0,4.7,15,No,Religious,All,Culture
Western,Maharastra,Pune,Shaniwar Wada,Fort,2.0,4.4,50,Yes,Historical,All,Culture
Western,Maharastra,Aurangabad,Ajanta Caves,Cave,3.0,4.6,30,Yes,Historical,Afternoon,Culture
Western,Maharastra,Nashik,Sula Vineyards,Vineyard,2.0,4.1,300,Yes,Recreational,Afternoon,Culture
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,0,Yes,Religious,All,Culture
Western,Maharastra,Alibaug,Alibaug Beach,Beach,1.5,4.2,0,Yes,Recreational,Evening,Nature
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1.0,4.7,0,No,Religious,All,Culture
Western,Maharastra,Nagpur,Deekshabhoomi,Monument,1.0,4.5,0,Yes,Religious,Afternoon,Culture
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1.0,4.8,0,Yes,Religious,All,Culture
Western,Maharastra,Lonavala,Karla Caves,Cave,1.5,4.4,25,Yes,Historical,Afternoon,Culture
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2.0,4.6,0,No,Recreational,Evening,Nature
Western,Maharashtra,Satara,Kaas Plateau,Valley,2.0,4.4,300,No,Nature,Afternoon,Culture
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1.5,4.4,0,Yes,Nature,Morning,Culture
Western,Maharashtra,Ajanta,Ellora Caves,Cave,3.0,4.7,30,Yes,Historical,Afternoon,Culture
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2.0,4.7,40,No,Cultural,Afternoon,Culture
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,30,Yes,Historical,Afternoon,Culture
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1.0,4.4,10,Yes,Historical,Afternoon,Culture
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,2.5,4.5,75,Yes,Historical,Morning,Culture
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,0,Yes,Religious,All,Culture
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,1.0,4.5,0,No,Nature,Morning,Nature
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15,No,Nature,Morning,Nature
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,3.0,4.5,100,No,Wildlife,Morning,Nature
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,3.0,4.5,50,No,Wildlife,Morning,Nature
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,10,No,Historical,Afternoon,Culture
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1.0,3.9,50,No,Historical,Afternoon,Culture
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2.0,4.6,25,No,Archaeological,Afternoon,Culture
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1.0,4.4,0,No,Religious,All,Culture
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,1.5,4.4,0,No,Nature,Morning,Nature
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1.0,4.7,0,Yes,Recreational,Morning,Culture
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,2.0,4.1,0,No,Adventure,Morning,Culture
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,0,Yes,Religious,All,Culture
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,1.5,4.5,0,No,Nature,Morning,Nature
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1.0,4.8,0,No,Religious,Morning,Culture
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,3.0,4.5,50,No,Wildlife,All,Nature
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,2.0,4.4,0,No,Recreational,Morning,Nature
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,2.0,4.5,0,No,Nature,Morning,Culture
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,2.0,4.4,150,Yes,Historical,All,Culture
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,0,Yes,Agricultural,Morning,Culture
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,0,No,Nature,Morning,Nature
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2.0,4.8,2500,No,Adventure,All,Thrills
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5.0,4.8,0,Yes,Adventure,Morning,Thrills
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1.0,4.6,0,No,Religious,Morning,Culture
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,2.0,4.5,0,Yes,Nature,All,Culture
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,2.0,4.7,0,No,Nature,Morning,Culture
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,2.5,4.4,0,No,Nature,Morning,Nature
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,5.0,3.8,1500,Yes,Recreational,All,Culture
Northern,Uttarakhand,Nainital,Naini Lake,Lake,1.5,4.2,0,Yes,Nature,Morning,Nature
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1.0,4.4,0,Yes,Cultural,Morning,Culture
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,1.0,4.5,0,Yes,Religious,All,Culture
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,1.5,4.5,25,Yes,Nature,Morning,Culture
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,1.5,4.2,15,Yes,Nature,Morning,Nature
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,3.0,4.5,0,No,Adventure,Morning,Culture
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,1.0,4.8,0,No,Religious,All,Culture
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,2.0,4.3,150,No,Wildlife,All,Nature
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1.0,4.0,50,No,Recreational,All,Culture
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,3.0,4.4,100,Yes,Wildlife,All,Nature
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1.0,4.8,0,No,Religious,All,Culture
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,2.0,4.8,0,No,Religious,All,Culture
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,5.0,4.7,150,No,Nature,Morning,Nature
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,2.0,4.6,50,Yes,Historical,Morning,Culture
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1.5,4.4,50,Yes,Historical,All,Culture
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,1.0,4.8,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1.0,4.8,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,1.0,4.5,0,Yes,Religious,Morning,Culture
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1.5,4.4,15,Yes,Historical,All,Culture
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,1.0,4.6,5,Yes,Historical,All,Culture
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,2.0,4.4,40,Yes,Historical,Afternoon,Culture
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1.5,4.3,30,Yes,Wildlife,All,Culture
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1.0,4.1,20,Yes,Historical,Afternoon,Culture
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,1.0,4.8,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,2.0,4.2,150,Yes,Wildlife,All,Culture
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,2.0,4.6,0,Yes,Nature,Morning,Nature
Northern,Ladakh,Leh,Pangong Tso,Lake,2.0,4.9,20,Yes,Nature,Morning,Nature
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,2.0,4.6,100,No,Nature,All,Culture
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,5.0,4.7,0,Yes,Religious,All,Culture
Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,2.0,4.1,0,No,Recreational,All,Nature
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,6.0,4.5,0,No,Religious,All,Culture
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,20,Yes,Religious,All,Culture
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,2.0,4.5,0,No,Nature,All,Culture
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,1.0,4.8,0,No,Historical,All,Culture
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1.0,4.7,20,No,Religious,Morning,Culture
Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,3.0,4.3,100,No,Wildlife,All,Nature
Northern,Ladakh,Hemis,Hemis National Park,National Park,4.0,4.4,20,No,Wildlife,All,Nature
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,1.0,4.8,0,No,Historical,All,Culture
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,0.5,3.7,0,Yes,Nature,All,Nature
Northern,Ladakh,Leh,Khardung La Pass,Hill,1.0,4.5,0,Yes,Adventure,Afternoon,Nature
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,30,Yes,Religious,All,Culture
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,1.5,4.8,0,Yes,Religious,Evening,Culture
Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1.0,4.8,0,Yes,Historical,Morning,Culture
Central,Uttar Pradesh,Mathura,Nand Gaon,Village,1.0,4.1,0,Yes,Cultural,Morning,Culture
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,1.0,4.8,0,Yes,Religious,Morning,Culture
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,1.0,4.5,0,No,Nature,All,Culture
Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,3.0,4.4,250,Yes,Wildlife,All,Nature
Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,4.0,4.4,60,No,Wildlife,All,Nature
Eastern,West Bengal,Digha,Digha Beach,Beach,1.5,4.5,0,No,Recreational,Morning,Nature
Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1.5,4.5,10,Yes,Historical,Morning,Culture
Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,0.5,4.7,0,Yes,Religious,All,Culture
Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,0.5,4.6,0,Yes,Architectural,All,Culture
Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,3.0,4.4,100,Yes,Wildlife,All,Nature
Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1.0,4.5,20,Yes,Historical,All,Culture
Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,2.5,4.5,0,No,Nature,All,Nature
Eastern,Odisha,Puri,Jagannath Temple,Temple,2.0,4.7,0,Yes,Religious,All,Culture
Eastern,Odisha,Konark,Sun Temple,Temple,1.5,4.7,40,Yes,Historical,All,Culture
Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1.0,4.6,0,Yes,Religious,All,Culture
Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,1.5,4.5,0,No,Nature,All,Nature
Eastern,Odisha,Cuttack,Barabati Fort,Fort,1.0,4.5,0,Yes,Historical,All,Culture
Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1.0,4.5,0,No,Engineering Marvel,All,Culture
Eastern,Odisha,Chilika,Chilika Lake,Lake,2.0,3.9,0,Yes,Nature,Morning,Nature
Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,1.0,4.6,0,Yes,Religious,All,Culture
Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,1.0,4.3,0,No,Nature,Morning,Nature
Eastern,Odisha,Balasore,Chandipur Beach,Beach,1.5,4.2,0,Yes,Recreational,Morning,Nature
Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,1.0,4.4,0,No,Nature,All,Nature
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,1.5,3.9,0,Yes,Recreational,Morning,Nature
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,2.0,4.7,0,Yes,Religious,All,Culture
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.6,0,No,Religious,All,Culture
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1.0,4.6,20,Yes,Historical,Morning,Culture
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1.0,4.1,10,Yes,Recreational,Morning,Nature
Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,2.0,3.9,0,No,Recreational,Morning,Nature
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,1.5,4.8,0,Yes,Religious,All,Culture
Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,1.0,4.6,40,Yes,Historical,All,Culture
Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,1.0,4.2,0,No,Recreational,Morning,Nature
